emso,ime,priimek,rojstni_dan,ekipa
1,Marietta,Loachhead,14/01/1999,Puce
2,Merill,Chillistone,16/02/1994,Puce
3,Trip,Winspur,05/09/1993,Puce
4,Roosevelt,Bogace,17/09/1999,Puce
5,Valentino,Jakeman,26/11/1992,Puce
6,Rooney,Bothram,27/05/1990,Puce
7,Manolo,Holliar,16/11/1990,Puce
8,Martin,Van de Velde,18/01/1995,Puce
9,Rip,Mangeon,17/06/1991,Puce
10,Darren,Mandal,04/02/1991,Puce
11,Silvester,Colkett,03/09/1990,Puce
12,Rabbi,Boik,12/07/1994,Puce
13,Gerard,Trittam,07/03/1992,Puce
14,Jamey,Gothrup,29/12/1994,Puce
15,Lombard,Tretter,22/03/1997,Puce
16,Noe,Mance,20/06/1994,Puce
17,Whitby,Watkiss,01/11/1994,Puce
18,Isidor,Southerns,30/07/1994,Puce
19,Rouvin,McDugal,16/07/1999,Puce
20,Syman,Ewles,29/01/1995,Puce
21,Jerri,Winterflood,22/10/1997,Fuscia
22,Quincey,Murrey,25/11/1990,Fuscia
23,Janos,Cannings,08/08/1995,Fuscia
24,Gerardo,Gniewosz,17/04/1994,Fuscia
25,Layton,Fickling,06/07/1998,Fuscia
26,Norry,Keyes,15/02/1991,Fuscia
27,Rod,Dallicott,08/11/1998,Fuscia
28,Mackenzie,Stern,15/05/1990,Fuscia
29,Hamid,Workes,07/12/1993,Fuscia
30,Skyler,Curnokk,03/11/1994,Fuscia
31,Hagan,Jills,27/01/1991,Fuscia
32,Alden,Pentony,09/01/2000,Fuscia
33,Lindsay,Larrett,14/01/2001,Fuscia
34,Barnabas,Grinley,23/06/2000,Fuscia
35,Kain,Trulock,11/12/1995,Fuscia
36,Ferd,Telega,30/12/1993,Fuscia
37,Redford,Drewitt,03/03/2000,Fuscia
38,Clifford,Phillis,26/03/1995,Fuscia
39,Maxie,Isacsson,23/03/2000,Fuscia
40,Baily,Kernock,25/01/1999,Fuscia
41,Denver,Tevlin,02/01/1992,Blue
42,Alard,Bruck,02/04/1993,Blue
43,Dev,Slocket,16/01/1993,Blue
44,Clare,Goudman,19/04/1992,Blue
45,Ewen,Watford,04/01/1997,Blue
46,Reynolds,Tandey,13/06/1998,Blue
47,Neale,Pahler,26/03/1999,Blue
48,Welch,Zoppo,03/03/1998,Blue
49,Chevalier,Moatt,03/04/1995,Blue
50,Culver,Warlow,31/10/1999,Blue
51,Bertram,Meale,04/07/1996,Blue
52,Barret,Suckling,31/07/1991,Blue
53,Leland,Leavold,05/09/1996,Blue
54,Sandor,Burberye,24/10/2000,Blue
55,Bram,Barthot,02/02/1996,Blue
56,Tymothy,McCourtie,13/07/1990,Blue
57,Harcourt,Mumby,24/03/1998,Blue
58,Mischa,Lehr,11/09/1991,Blue
59,Austin,Saph,30/04/1993,Blue
60,Roldan,Garey,01/11/1990,Blue
61,Willy,Pfaffe,17/06/1994,Maroon
62,Bartel,McColl,09/01/1997,Maroon
63,North,Jobke,23/03/1999,Maroon
64,Edmon,Fellenor,14/03/2001,Maroon
65,Bartolemo,Selby,29/05/2000,Maroon
66,Briano,Mackett,04/07/1995,Maroon
67,Benson,Lazare,18/07/1994,Maroon
68,Barny,Thominga,03/08/1999,Maroon
69,Rodolphe,Schirok,22/06/1995,Maroon
70,Garry,Gillman,30/03/1996,Maroon
71,Normie,Lotterington,19/05/1999,Maroon
72,Eugene,Trusslove,27/09/1998,Maroon
73,Alaric,Gallahue,11/10/1995,Maroon
74,Roland,Tearny,09/01/1998,Maroon
75,Lou,Forber,01/05/2000,Maroon
76,Barry,Pobjay,31/03/1991,Maroon
77,Tadd,Slay,14/01/2000,Maroon
78,Onofredo,Glusby,13/10/1991,Maroon
79,Calv,McKeran,17/12/1993,Maroon
80,Wiley,Leindecker,22/04/2000,Maroon
81,Isidoro,Wallis,31/08/1993,Orange
82,Somerset,MacTrustey,31/08/1990,Orange
83,Gardner,Luetkemeyers,19/12/1993,Orange
84,Stillman,Turville,26/07/2000,Orange
85,Kilian,Hansford,30/08/1990,Orange
86,Jasper,Leverette,28/06/1991,Orange
87,Kilian,Dyott,21/06/1995,Orange
88,Ingmar,Colton,18/08/1997,Orange
89,Alphonso,Colthard,25/01/1998,Orange
90,Trey,Guitt,06/01/1994,Orange
91,Izaak,Enser,14/09/1993,Orange
92,Sylvan,Acomb,18/10/1992,Orange
93,Kevin,Collop,31/03/1995,Orange
94,Dominik,Dumingo,22/11/1996,Orange
95,Gar,Duckham,10/10/1997,Orange
96,Nealy,Dict,16/01/1992,Orange
97,Say,Yarr,06/07/2000,Orange
98,Arel,Trembath,30/01/1997,Orange
99,Abbey,Burgum,24/10/1997,Orange
100,Kit,Shankle,17/09/1992,Orange
101,Carny,Szach,09/06/2000,Crimson
102,Benjie,Origan,14/12/1994,Crimson
103,Penrod,Jeppensen,04/05/2001,Crimson
104,Lowell,Benallack,23/02/1994,Crimson
105,Isidor,Egdal,02/06/1991,Crimson
106,Prentiss,Reilly,17/10/1991,Crimson
107,Gerhardt,Elcott,19/06/1998,Crimson
108,Aubrey,Fadian,24/12/1998,Crimson
109,Shurlocke,Luby,13/11/1998,Crimson
110,Sonny,Alessandretti,17/03/2001,Crimson
111,Dale,Dunphy,31/10/1998,Crimson
112,Leroi,Lightbown,13/10/1996,Crimson
113,Lindsay,Branscombe,05/03/1998,Crimson
114,Maynord,Abramin,06/10/1998,Crimson
115,Byrom,Darrigoe,26/07/1991,Crimson
116,Holt,Stickells,02/03/1995,Crimson
117,Spense,Lacrouts,26/09/2000,Crimson
118,Claus,Whitefoot,20/02/2000,Crimson
119,Bengt,Stuchbury,04/11/1999,Crimson
120,Duke,Gillbey,30/11/1992,Crimson
121,Jedd,Noods,14/01/1996,Mauv
122,Shalom,Lubeck,29/07/1999,Mauv
123,Constantino,Cobbald,19/05/1991,Mauv
124,Eliot,Sibson,01/04/1991,Mauv
125,Niels,Acock,03/06/1996,Mauv
126,Blayne,Baskeyfield,24/01/1992,Mauv
127,Nicolis,Olyunin,28/02/2001,Mauv
128,Dillon,Wharfe,16/02/1992,Mauv
129,Bord,Claringbold,03/06/1993,Mauv
130,Neel,Tschiersch,24/04/1994,Mauv
131,Rodolfo,Chorley,15/04/1996,Mauv
132,Bronnie,Ewles,14/06/1991,Mauv
133,Maximilien,Bailiss,04/03/1999,Mauv
134,Theobald,Claringbold,18/07/1993,Mauv
135,Maxie,Orhrt,25/06/1996,Mauv
136,Gaelan,Hegden,09/11/1997,Mauv
137,Rupert,Mynard,17/09/1996,Mauv
138,Berkley,Caccavari,27/01/2001,Mauv
139,Galen,Jime,20/02/1999,Mauv
140,Lorrie,Trevain,24/04/1999,Mauv
141,Colver,Innett,23/06/1993,Aquamarine
142,Marlowe,Mingaye,01/10/1990,Aquamarine
143,Gunar,Willis,11/04/1996,Aquamarine
144,Ellswerth,Goodings,12/02/1994,Aquamarine
145,Link,Signoret,10/07/1997,Aquamarine
146,Wyndham,Letterick,27/02/1996,Aquamarine
147,Javier,Keighley,11/01/1992,Aquamarine
148,Tripp,Hillen,14/02/1999,Aquamarine
149,Abramo,Grigorey,04/10/1995,Aquamarine
150,Welbie,Cantopher,12/08/1990,Aquamarine
151,Mal,Habard,17/01/1996,Aquamarine
152,Jerri,Arundale,23/08/1995,Aquamarine
153,Ingemar,Waldron,03/07/1993,Aquamarine
154,Xever,Walkowski,16/03/1998,Aquamarine
155,Grady,OGormley,07/06/1998,Aquamarine
156,Esra,Poundesford,11/01/1995,Aquamarine
157,Mauricio,Hortop,13/03/1997,Aquamarine
158,Giacobo,Lampke,04/07/2000,Aquamarine
159,Rollie,Hegge,19/08/1990,Aquamarine
160,Herschel,Cordell,14/10/1994,Aquamarine
161,Wilburt,Micklewright,18/02/1997,Violet
162,Hilary,Haseman,19/07/1998,Violet
163,Syman,Kirman,15/02/1992,Violet
164,Hurlee,Woodfin,27/05/2000,Violet
165,Lothario,Madre,30/11/2000,Violet
166,Thain,Acutt,19/12/1999,Violet
167,Brooks,Haug,30/03/1997,Violet
168,Shaw,Baumert,22/12/1994,Violet
169,Germain,Fane,22/07/1992,Violet
170,Elroy,Arniz,13/09/1999,Violet
171,Nigel,Redmond,11/04/1998,Violet
172,Ebeneser,Rodmell,08/12/1999,Violet
173,Woodie,Tydd,11/01/1996,Violet
174,Tabor,Stubbley,29/06/1995,Violet
175,Guthrey,Green,07/07/1998,Violet
176,Alejoa,Smythe,03/01/1999,Violet
177,Lance,Grimmolby,11/08/1994,Violet
178,Mickey,Sparway,27/06/1995,Violet
179,Basil,Moncur,05/08/1992,Violet
180,Reggis,Davall,07/02/1998,Violet
181,Tommy,Maciejewski,13/08/1991,Indigo
182,Oran,Joskowitz,16/03/2001,Indigo
183,Meryl,Waud,13/01/2001,Indigo
184,Turner,Lintott,12/08/1992,Indigo
185,Gradeigh,Aveling,08/05/2001,Indigo
186,Rodney,Bye,02/09/2000,Indigo
187,Gail,Gorick,13/06/1994,Indigo
188,Normand,Januszewski,04/01/1994,Indigo
189,Adan,Vinsen,26/05/1991,Indigo
190,Matty,Takis,06/07/1993,Indigo
191,Findlay,Falkingham,18/08/2000,Indigo
192,Dun,Fandrey,22/08/1992,Indigo
193,Carleton,Wolfindale,15/02/2001,Indigo
194,Gayelord,Shadfourth,26/08/1998,Indigo
195,Alberto,Wasbrough,13/09/1990,Indigo
196,Shanan,Rudderham,04/08/1991,Indigo
197,Crawford,Wethey,07/03/1995,Indigo
198,Talbert,Pawlowicz,13/01/1991,Indigo
199,Ker,Biesterfeld,29/03/1998,Indigo
200,Bryanty,Ferrillio,23/08/1995,Indigo
201,Orlando,Axe,11/09/1992,Puce
202,Tulley,Allanby,26/06/1994,Puce
203,Brnaby,Hartman,12/06/2000,Puce
204,Irwinn,Swinburne,02/06/1993,Puce
205,Yvor,Death,26/07/1991,Puce
206,Traver,Graal,06/11/1993,Fuscia
207,Lorin,Opfer,09/08/1994,Fuscia
208,Francesco,Rodger,11/08/1993,Fuscia
209,Porty,Stallard,23/08/1993,Fuscia
210,Beltran,Dumpleton,23/10/2000,Fuscia
211,Phillipp,Oldaker,27/04/1998,Blue
212,Artemis,Leivesley,20/04/1991,Blue
213,Burke,Duckers,07/12/1999,Blue
214,Lindon,Cescot,16/10/1990,Blue
215,Hubert,Aliman,02/07/1998,Blue
216,Collin,Sapwell,04/02/1998,Maroon
217,Lazare,Shrigley,25/04/1995,Maroon
218,Carny,Pickles,11/12/1991,Maroon
219,Friedrick,Balsom,27/05/1991,Maroon
220,Seymour,Klaiser,16/08/1994,Maroon
221,Reilly,Klulisek,15/04/1995,Orange
222,Dell,Terese,10/04/1999,Orange
223,Morgen,Del Castello,10/08/1992,Orange
224,Archaimbaud,Graveney,27/02/1995,Orange
225,Sancho,Spoors,16/12/1993,Orange
226,Clayborn,Ayars,15/11/1999,Crimson
227,Aldin,Thying,14/09/1990,Crimson
228,Ambros,Baigrie,19/03/2001,Crimson
229,Clayton,Fishbourne,20/01/1992,Crimson
